"filename"	"speaker"	"exp"	"rep"	"context_nr"	"context"	"block"	"trial"	"condition"	"name1"	"name2"	"item2"	"L1"	"L1t"	"H1"	"H1t"	"rise1"	"f0n1"	"slopen1"	"L2"	"L2t"	"H2"	"H2t"	"rise2"	"f0n2"	"slopen2"	"s4dur"	"s4reln1"	"s4glott"	"s8dur"	"s8reln2"	"s8glott"	"p1dur"	"p1relutt"	"p2dur"	"p3dur"	"p3relutt"	"p4dur"	"c1dur"	"c2dur"	"utt_dur.ms."	"hes"	"comments"	"p3_p1relutt"	"C2vsC1"	"C3vsC1"	"C4vsC1"	"C5vsC1"
"01_C01_b1_t01_r1_mimmi_nob"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t01"	"nob"	"leni_"	"mimmi"	"01_C01_b1_t01_r1mimmi"	"220.35"	"0.39"	"315.25"	"0.84"	"6.2"	"rise"	"13.818"	"218.94"	"1.32"	"311.03"	"1.67"	"6.08"	"rise"	"17.033"	"140.62"	"23.25"	"0"	"260.1"	"46.206"	"0"	0	"0"	"0"	94.11	"3.97"	"0"	"291.2"	"203.98"	2370.71	"0"	NA	3.96969684187438	-0.2	-0.2	-0.2	0.8
"01_C01_b1_t02_r1_lilli_nob"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t02"	"nob"	"moni_"	"lilli"	"01_C01_b1_t02_r1lilli"	"229.36"	"0.4"	"514.39"	"1.02"	"13.98"	"rise"	"22.774"	"194.07"	"1.35"	"336.26"	"1.79"	"9.52"	"rise"	"22.009"	"239.49"	"32.278"	"0"	"240.93"	"43.122"	"0"	0	"0"	"0"	97.73	"3.885"	"0"	"251.72"	"190.1"	2515.67	"0"	" name1 versprecher boni"	3.8848497616937	-0.2	-0.2	-0.2	0.8
"01_C01_b1_t03_r1_nelli_bra"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t03"	"bra"	"mimmi"	"nelli"	"01_C01_b1_t03_r1nelli"	"187.79"	"0.46"	"365.48"	"0.88"	"11.53"	"rise"	"26.978"	"137.3"	"1.65"	"254.91"	"1.29"	"10.71"	"fall"	"-29.699"	"242.04"	"39.342"	"0"	"196.66"	"36.731"	"0"	182.77	"6.465"	"0"	470.01	"16.624"	"0"	"156.72"	"371.9"	2827.21	"0"	NA	10.1598395591413	-0.2	-0.2	-0.2	0.8
"01_C01_b1_t04_r1_manni_nob"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t04"	"nob"	"lilli"	"manni"	"01_C01_b1_t04_r1manni"	"241.3"	"0.37"	"313.72"	"0.77"	"4.54"	"rise"	"11.332"	"220.42"	"1.32"	"254.18"	"1.53"	"2.47"	"rise"	"11.901"	"214.78"	"39.519"	"0"	"231.74"	"44.293"	"0"	57.85	"2.733"	"0"	90.42	"4.271"	"0"	"234.51"	"144.07"	2117.1	"0"	NA	1.53842520428889	-0.2	-0.2	-0.2	0.8
"01_C01_b1_t05_r1_mimmi_bra"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t05"	"bra"	"leni_"	"mimmi"	"01_C01_b1_t05_r1mimmi"	"196.75"	"0.43"	"442.9"	"1.15"	"14.05"	"rise"	"19.559"	"191.49"	"1.65"	"320.61"	"2.07"	"8.92"	"rise"	"21.368"	"303.2"	"33.613"	"0"	"227.39"	"39.254"	"0"	149.47	"4.448"	"0"	525.47	"15.637"	"0"	"218.08"	"236.56"	3360.43	"0"	NA	11.1890442592168	-0.2	-0.2	-0.2	0.8
"01_C01_b1_t06_r1_moni_bra"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t06"	"bra"	"nelli"	"moni_"	"01_C01_b1_t06_r1moni_"	"192.81"	"0.41"	"316.03"	"0.76"	"8.55"	"rise"	"24.27"	"132.31"	"1.7"	"188.69"	"1.39"	"6.15"	"fall"	"-19.852"	"237.2"	"44.183"	"0"	"210.76"	"33.01"	"0"	75.53	"3.099"	"0"	309.12	"12.684"	"0"	"211.56"	"186.83"	2437.03	"0"	NA	9.58502767713159	-0.2	-0.2	-0.2	0.8
"01_C01_b1_t07_r1_leni_nob"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t07"	"nob"	"manni"	"leni_"	"01_C01_b1_t07_r1leni_"	"208.06"	"0.42"	"382.31"	"0.84"	"10.53"	"rise"	"24.866"	"197.08"	"1.4"	"316.45"	"1.71"	"8.2"	"rise"	"26.563"	"239.24"	"40.827"	"0"	"208.14"	"34.476"	"0"	167.33	"7.217"	"0"	98.02	"4.227"	"0"	"211.83"	"128.82"	2318.67	"0"	NA	-2.98921364402869	-0.2	-0.2	-0.2	0.8
"01_C01_b1_t08_r1_lilli_bra"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t08"	"bra"	"moni_"	"lilli"	"01_C01_b1_t08_r1lilli"	"188.04"	"0.4"	"248.31"	"0.7"	"4.81"	"rise"	"16.098"	"174.52"	"1.26"	"429.93"	"1.62"	"15.61"	"rise"	"43.616"	"115.73"	"19.6"	"0"	"225.07"	"40.725"	"0"	0	"0"	"0"	593.74	"21.093"	"0"	"214.4"	"176.61"	2814.81	"0"	NA	21.0934308177106	-0.2	-0.2	-0.2	0.8
"01_C01_b1_t09_r1_nelli_nob"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t09"	"nob"	"mimmi"	"nelli"	"01_C01_b1_t09_r1nelli"	"244.65"	"0.33"	"277.74"	"0.65"	"2.2"	"rise"	"7.036"	"226.54"	"1.26"	"253.85"	"1.43"	"1.97"	"rise"	"11.915"	"243.48"	"45.538"	"0"	"226.47"	"43.452"	"0"	0	"0"	"0"	68.62	"3.345"	"0"	"260.38"	"162.97"	2051.54	"0"	NA	3.34480439084785	-0.2	-0.2	-0.2	0.8
"01_C01_b1_t10_r1_leni_bra"	"1"	"1b"	"r1"	"C01"	"young"	"b1"	"t10"	"bra"	"manni"	"leni_"	"01_C01_b1_t10_r1leni_"	"192.47"	"0.63"	"380.58"	"1.03"	"11.8"	"rise"	"29.74"	"189.47"	"1.5"	"394.5"	"2.02"	"12.7"	"rise"	"24.616"	"225.91"	"29.395"	"0"	"255.19"	"34.882"	"0"	0	"0"	"0"	385.16	"12.808"	"0"	"268.15"	"0"	3007.23	"0"	NA	12.8077998689824	-0.2	-0.2	-0.2	0.8
